Federal Office of Meteorology and Climatology, MeteoSwiss
Operation Center 1
Postfach 257
8058 Zürich-Flughafen

Order number 94087

Filename                                Filetype  Station                              Parameter                                                   Period
order_94087_VDCRA_rre150m0_4_legend.txt Legend    Crans-près-Céligny                   Precipitation; monthly total                                200107-200112
order_94087_VDCRA_rre150m0_5_data.txt   Data      Crans-près-Céligny                   Precipitation; monthly total                                200202-200205
order_94087_VDCRA_rre150m0_5_legend.txt Legend    Crans-près-Céligny                   Precipitation; monthly total                                200202-200205
order_94087_VDCRA_rre150m0_6_data.txt   Data      Crans-près-Céligny                   Precipitation; monthly total                                200208-200304
order_94087_VDCRA_rre150m0_6_legend.txt Legend    Crans-près-Céligny                   Precipitation; monthly total                                200208-200304
order_94087_VDCRA_rre150m0_7_data.txt   Data      Crans-près-Céligny                   Precipitation; monthly total                                200306-200307
order_94087_VDCRA_rre150m0_7_legend.txt Legend    Crans-près-Céligny                   Precipitation; monthly total                                200306-200307
order_94087_VDCRA_rre150m0_8_data.txt   Data      Crans-près-Céligny                   Precipitation; monthly total                                200310-200311
order_94087_VDCRA_rre150m0_8_legend.txt Legend    Crans-près-Céligny                   Precipitation; monthly total                                200310-200311
order_94087_VDCRA_rre150m0_9_data.txt   Data      Crans-près-Céligny                   Precipitation; monthly total                                200401-200403
order_94087_VDCRA_rre150m0_9_legend.txt Legend    Crans-près-Céligny                   Precipitation; monthly total                                200401-200403
order_94087_VDCRA_rre150m0_10_data.txt  Data      Crans-près-Céligny                   Precipitation; monthly total                                200405-200409
order_94087_VDCRA_rre150m0_10_legend.txt Legend    Crans-près-Céligny                   Precipitation; monthly total                                200405-200409
order_94087_VDCRA_rre150m0_11_data.txt  Data      Crans-près-Céligny                   Precipitation; monthly total                                200410-200411
order_94087_VDCRA_rre150m0_11_legend.txt Legend    Crans-près-Céligny                   Precipitation; monthly total                                200410-200411
order_94087_VDCRA_rre150m0_12_data.txt  Data      Crans-près-Céligny                   Precipitation; monthly total                                200504-200510
order_94087_VDCRA_rre150m0_12_legend.txt Legend    Crans-près-Céligny                   Precipitation; monthly total                                200504-200510
order_94087_VDCRA_rre150m0_13_data.txt  Data      Crans-près-Céligny                   Precipitation; monthly total                                200511-200603
order_94087_VDCRA_rre150m0_13_legend.txt Legend    Crans-près-Céligny                   Precipitation; monthly total                                200511-200603
order_94087_VDCRA_rre150m0_14_data.txt  Data      Crans-près-Céligny                   Precipitation; monthly total                                200604-200612
order_94087_VDCRA_rre150m0_14_legend.txt Legend    Crans-près-Céligny                   Precipitation; monthly total                                200604-200612
order_94087_VDCRA_rre150m0_15_data.txt  Data      Crans-près-Céligny                   Precipitation; monthly total                                200701-200808
order_94087_VDCRA_rre150m0_15_legend.txt Legend    Crans-près-Céligny                   Precipitation; monthly total                                200701-200808
order_94087_VDCRA_rre150m0_16_data.txt  Data      Crans-près-Céligny                   Precipitation; monthly total                                200810-200811
order_94087_VDCRA_rre150m0_16_legend.txt Legend    Crans-près-Céligny                   Precipitation; monthly total                                200810-200811
order_94087_VDCRA_rre150m0_17_data.txt  Data      Crans-près-Céligny                   Precipitation; monthly total                                200902-200912
order_94087_VDCRA_rre150m0_17_legend.txt Legend    Crans-près-Céligny                   Precipitation; monthly total                                200902-200912
order_94087_VDCRA_rre150m0_18_data.txt  Data      Crans-près-Céligny                   Precipitation; monthly total                                201001-201007
order_94087_VDCRA_rre150m0_18_legend.txt Legend    Crans-près-Céligny                   Precipitation; monthly total                                201001-201007
