Federal Office of Meteorology and Climatology, MeteoSwiss
Operation Center 1
Postfach 257
8058 Zürich-Flughafen

Order number 95481

Filename                                Filetype  Station                              Parameter                                                   Period
order_95481_KAEPT_rre003mx_1_legend.txt Legend    Eptingen                             Precipitation; maximum 3-day total of the month             201811-202012
order_95481_KAEPT_rre003mx_2_data.txt   Data      Eptingen                             Precipitation; maximum 3-day total of the month             202103-202105
order_95481_KAEPT_rre003mx_2_legend.txt Legend    Eptingen                             Precipitation; maximum 3-day total of the month             202103-202105
order_95481_SOERS_rre003mx_1_data.txt   Data      Erschwil                             Precipitation; maximum 3-day total of the month             199812-201209
order_95481_SOERS_rre003mx_1_legend.txt Legend    Erschwil                             Precipitation; maximum 3-day total of the month             199812-201209
order_95481_SOERS_rre003mx_2_data.txt   Data      Erschwil                             Precipitation; maximum 3-day total of the month             201303-202102
order_95481_SOERS_rre003mx_2_legend.txt Legend    Erschwil                             Precipitation; maximum 3-day total of the month             201303-202102
order_95481_EKO_rre003mx_1_data.txt     Data      Eschlikon                            Precipitation; maximum 3-day total of the month             190001-202105
order_95481_EKO_rre003mx_1_legend.txt   Legend    Eschlikon                            Precipitation; maximum 3-day total of the month             190001-202105
order_95481_AGFAW_rre003mx_1_data.txt   Data      Fahrwangen                           Precipitation; maximum 3-day total of the month             200007-200906
order_95481_AGFAW_rre003mx_1_legend.txt Legend    Fahrwangen                           Precipitation; maximum 3-day total of the month             200007-200906
order_95481_AGFAW_rre003mx_2_data.txt   Data      Fahrwangen                           Precipitation; maximum 3-day total of the month             200908-200909
order_95481_AGFAW_rre003mx_2_legend.txt Legend    Fahrwangen                           Precipitation; maximum 3-day total of the month             200908-200909
order_95481_AGFAW_rre003mx_3_data.txt   Data      Fahrwangen                           Precipitation; maximum 3-day total of the month             200912-202105
order_95481_AGFAW_rre003mx_3_legend.txt Legend    Fahrwangen                           Precipitation; maximum 3-day total of the month             200912-202105
order_95481_FAH_rre003mx_1_data.txt     Data      Fahy                                 Precipitation; maximum 3-day total of the month             195612-202105
order_95481_FAH_rre003mx_1_legend.txt   Legend    Fahy                                 Precipitation; maximum 3-day total of the month             195612-202105
order_95481_FEH_rre003mx_1_data.txt     Data      Fehraltdorf                          Precipitation; maximum 3-day total of the month             190012-195212
order_95481_FEH_rre003mx_1_legend.txt   Legend    Fehraltdorf                          Precipitation; maximum 3-day total of the month             190012-195212
order_95481_FLW_rre003mx_1_data.txt     Data      Flawil                               Precipitation; maximum 3-day total of the month             190001-202105
order_95481_FLW_rre003mx_1_legend.txt   Legend    Flawil                               Precipitation; maximum 3-day total of the month             190001-202105
order_95481_DLGEL_rre003mx_1_data.txt   Data      Gelbelsee                            Precipitation; maximum 3-day total of the month             202008-202105
order_95481_DLGEL_rre003mx_1_legend.txt Legend    Gelbelsee                            Precipitation; maximum 3-day total of the month             202008-202105
order_95481_GEP_rre003mx_1_data.txt     Data      Gempen, SO                           Precipitation; maximum 3-day total of the month             196812-202104
order_95481_GEP_rre003mx_1_legend.txt   Legend    Gempen, SO                           Precipitation; maximum 3-day total of the month             196812-202104
order_95481_VDGEN_rre003mx_1_data.txt   Data      Genoiler                             Precipitation; maximum 3-day total of the month             201212-202105
order_95481_VDGEN_rre003mx_1_legend.txt Legend    Genoiler                             Precipitation; maximum 3-day total of the month             201212-202105
order_95481_GES_rre003mx_1_data.txt     Data      Gersau                               Precipitation; maximum 3-day total of the month             199803-202105
order_95481_GES_rre003mx_1_legend.txt   Legend    Gersau                               Precipitation; maximum 3-day total of the month             199803-202105
order_95481_GGI_rre003mx_1_data.txt     Data      Gingins                              Precipitation; maximum 3-day total of the month             190001-192912
order_95481_GGI_rre003mx_1_legend.txt   Legend    Gingins                              Precipitation; maximum 3-day total of the month             190001-192912
order_95481_VDGOU_rre003mx_1_data.txt   Data      Goumoëns                             Precipitation; maximum 3-day total of the month             201212-202105
order_95481_VDGOU_rre003mx_1_legend.txt Legend    Goumoëns                             Precipitation; maximum 3-day total of the month             201212-202105
order_95481_GIN_rre003mx_1_data.txt     Data      Grüningen                            Precipitation; maximum 3-day total of the month             190001-201208
order_95481_GIN_rre003mx_1_legend.txt   Legend    Grüningen                            Precipitation; maximum 3-day total of the month             190001-201208
order_95481_GIN_rre003mx_2_data.txt     Data      Grüningen                            Precipitation; maximum 3-day total of the month             201211-201905
order_95481_GIN_rre003mx_2_legend.txt   Legend    Grüningen                            Precipitation; maximum 3-day total of the month             201211-201905
order_95481_GIN_rre003mx_3_data.txt     Data      Grüningen                            Precipitation; maximum 3-day total of the month             201906-202105
order_95481_GIN_rre003mx_3_legend.txt   Legend    Grüningen                            Precipitation; maximum 3-day total of the month             201906-202105
order_95481_GUS_rre003mx_1_data.txt     Data      Grüsch                               Precipitation; maximum 3-day total of the month             199212-201406
order_95481_GUS_rre003mx_1_legend.txt   Legend    Grüsch                               Precipitation; maximum 3-day total of the month             199212-201406
